OBJECTID,ID,ParkName,Ownership,Acreage,LocationDescription,AddressNumber,Street,Installed,Replaced,Retired,cgGeoSyncDate
116,123,Jamestown Park,Arlington County Park,4.72710151,Jamestown Park,3618,N DICKERSON ST,,,,2019-02-14T02:49:06.000Z
117,261,Clarendon Market Commons Easement,Private Open Space,0.53184265,Clarendon Market Commons Easement,,,,,,2019-02-14T02:49:06.000Z
118,210,Butler Holmes Park,Arlington County Park,2.13345632,Butler Holmes Park,101,S BARTON ST,,,,2019-02-14T02:49:06.000Z
119,133,Arlington View Park,Arlington County Park,0.13224711,Arlington View Park,1105,S QUEEN ST,,,,2019-02-14T02:49:06.000Z
120,275,Bennett Park Plaza,Private Open Space,0.10130563,Private Open Space,,WILSON BLVD,,,,2019-02-14T02:49:06.000Z
121,235,Triangle Park,Arlington County Park,0.1883073,Triangle Park,,,,,,2019-02-14T02:49:06.000Z
122,214,Glebe Road Park,Arlington County Park,9.87192787,Glebe Road Park,4211,N OLD GLEBE RD,,,,2019-02-14T02:49:06.000Z
123,197,Oakcrest Park,Arlington County Park,1.21021856,Oakcrest Park,1020,OAKCREST RD,,,,2019-02-14T02:49:06.000Z
124,177,Rocky Run Park,Arlington County Park,2.9621562,Rocky Run Park,1109,N BARTON ST,,,,2019-02-14T02:49:06.000Z
125,121,Fairlington Community Center,Arlington County Park,8.17907021,Fairlington Community Center,3308,S STAFFORD ST,,,,2019-02-14T02:49:06.000Z
126,211,North Lynn Street and Lee Highway Park,Arlington County Park,0.60963295,North Lynn Street and Lee Highway Park,2105,N LYNN ST,,,,2019-02-14T02:49:06.000Z
127,117,Marcey Road Park,Arlington County Park,2.84123379,Marcey Road Park,2722,N MARCEY RD,,,,2019-02-14T02:49:06.000Z
128,137,Clarendon Central Park,Arlington County Park,0.71675369,Clarendon Central Park,3140,WILSON BLVD,,,,2019-02-14T02:49:06.000Z
129,282,W & OD Railroad Regional Park,NVRPA Park,54.91719141,,,,,,,2019-02-14T02:49:06.000Z
130,244,Upton Hill Regional Park,NVRPA Park,23.61549687,Upton Hill Regional Park,,,,,,2019-02-14T02:49:06.000Z
131,231,Bon Air Park,Arlington County Park,21.12950441,Bon Air Park,850,N LEXINGTON ST,2018-05-11T00:00:00.000Z,2018-05-11T00:00:00.000Z,,2019-02-14T02:49:06.000Z
132,106,Monroe Park,Arlington County Park,0.9917624,Monroe Park,1330,S MONROE ST,,,,2019-02-14T02:49:06.000Z
133,201,Garfield Street and Route 50 Park,Arlington County Park,0.22944951,Garfield Street and Route 50 Park,6,S GARFIELD ST,,,,2019-02-14T02:49:06.000Z
134,267,Cheerios Park,Private Open Space,0.87143194,Cheerios Park,,,,,,2019-02-14T02:49:06.000Z
135,262,Clarendon and North Danville Easement,Private Open Space,0.03249161,Clarendon and North Danville Easement,2751,11th ST N,,,,2019-02-14T02:49:06.000Z
137,176,John Marshall Greenway,Arlington County Park,2.18967624,John Marshall Greenway,,,,,,2019-02-14T02:49:06.000Z
138,257,Rosslyn Central Place,Private Open Space,0.61844704,Rosslyn Central Place,,,,,,2019-02-14T02:49:06.000Z
139,230,Hayes Park,Arlington County Park,2.85230985,Hayes Park,1516,N LINCOLN ST,,,,2019-02-14T02:49:06.000Z
140,223,Bluemont Park,Arlington County Park,50.6047961,Bluemont Park,601,N MANCHESTER ST,,,,2019-02-14T02:49:06.000Z
141,130,High View Park,Arlington County Park,2.73489643,High View Park,1945,N DINWIDDIE ST,2017-11-20T00:00:00.000Z,2017-11-20T00:00:00.000Z,,2019-02-14T02:49:06.000Z
142,124,Arlington Mill Community Center,Arlington County Park,2.10484308,Arlington Mill Community Center,4975,COLUMBIA PIKE,,,,2019-02-14T02:49:06.000Z
143,178,Hillside Park,Arlington County Park,1.37177167,Hillside Park,1601,N PIERCE ST,,,,2019-02-14T02:49:06.000Z
144,272,Potomac Yards Center Park,Private Open Space,1.40356091,Private Open Space between S Ball & S Clark St,,S GLEBE RD,,,,2019-02-14T02:49:06.000Z
145,116,Pimmit Run Fishing Access,Arlington County Park,0.19098148,Pimmit Run Fishing Access,4144,N RICHMOND ST,2018-08-24T00:00:00.000Z,2018-08-24T00:00:00.000Z,,2019-02-14T02:49:06.000Z
146,249,Clarendon and North Danville Easement,Private Open Space,0.05010568,Clarendon and North Danville Easement,2751,11th ST N,,,,2019-02-14T02:49:06.000Z
147,219,11th Street North and North Danville Street Park,Arlington County Park,1.0111226,11th Street North and North Danville Street Park,2751,11th ST N,,,,2019-02-14T02:49:06.000Z
148,172,Rock Spring Park,Arlington County Park,3.77041528,Rock Spring Park,5012,LITTLE FALLS RD,,,,2019-02-14T02:49:06.000Z
149,213,Tuckahoe Park,Arlington County Park,12.24893501,Tuckahoe Park,2400,N SYCAMORE ST,2018-01-03T00:00:00.000Z,2018-04-12T00:00:00.000Z,,2019-02-14T02:49:06.000Z
150,250,Freedom Park,Private Open Space,1.6055989,Freedom Park,,,,,,2019-02-14T02:49:06.000Z
151,169,Dawson Terrace Community Center,Arlington County Park,3.49665802,Dawson Terrace Community Center,2133,N TAFT ST,2018-02-09T00:00:00.000Z,2018-02-09T00:00:00.000Z,,2019-02-14T02:49:06.000Z
152,125,Upper Pimmit Run Park,Arlington County Park,2.14687564,Upper Pimmit Run Park,3815,N DUMBARTON ST,,,,2019-02-14T02:49:06.000Z
153,236,Jennie Dean Park,Arlington County Park,16.34783085,Jennie Dean Park,3630,27th ST S,,,,2019-02-14T02:49:06.000Z
154,158,Wakefield High School Park,Arlington County Park,0.70765954,Wakefield High School Park,4966,14th ST S,,,,2019-02-14T02:49:06.000Z
155,171,Maywood Park,Arlington County Park,0.25531862,Maywood Park,3210,22nd ST N,,,,2019-02-14T02:49:06.000Z
156,131,Cleveland Park,Arlington County Park,0.14301049,Cleveland Park,1030,S CLEVELAND ST,,,,2019-02-14T02:49:06.000Z
157,188,Fort Barnard Park,Arlington County Park,3.59840062,Fort Barnard Park,2101,S POLLARD ST,2018-08-13T00:00:00.000Z,2018-08-13T00:00:00.000Z,,2019-02-14T02:49:06.000Z
158,167,Fort C.F. Smith Park,Arlington County Park,19.04097071,Fort C.F. Smith Park,2411,24th ST N,2018-08-31T00:00:00.000Z,2018-08-31T00:00:00.000Z,,2019-02-14T02:49:06.000Z
159,151,Aurora Hills Community Center,Arlington County Park,2.90967976,Aurora Hills Community Center,735,18th ST S,,,,2019-02-14T02:49:06.000Z
160,173,Greenbrier Park,Arlington County Park,14.51021494,Greenbrier Park,2700,N GREENBRIER ST,,,,2019-02-14T02:49:06.000Z
161,207,Henry Wright Park,Arlington County Park,0.65889985,Henry Wright Park,4350,4th ST N,,,,2019-02-14T02:49:06.000Z
162,251,Courthouse Hill Public Access Easement,Private Open Space,0.49199453,Courthouse Hill Public Access Easement,,,,,,2019-02-14T02:49:06.000Z
163,166,Woodmont Center,Arlington County Park,3.31959116,Woodmont Center,2422,N FILLMORE ST,,,,2019-02-14T02:49:06.000Z
164,179,Fort Myer Heights Park,Arlington County Park,0.87314522,Fort Myer Heights Park,1400,FORT MYER DR,,,,2019-02-14T02:49:06.000Z
165,129,Oakland Park,Arlington County Park,0.91517204,Oakland Park,3705,WILSON BLVD,,,,2019-02-14T02:49:06.000Z
166,136,Troy Park,Arlington County Park,2.97530298,Troy Park,2629,S TROY ST,,,,2019-02-14T02:49:06.000Z
167,141,Holmberg Park,Arlington County Park,0.90021284,Holmberg Park,3750,N UPLAND ST,,,,2019-02-14T02:49:06.000Z
168,102,Madison Manor Park,Arlington County Park,13.09518895,Madison Manor Park,6225,12th RD N,,,,2019-02-14T02:49:06.000Z
169,146,Tyrol Hill Park,Arlington County Park,3.36495267,Tyrol Hill Park,5101,7th RD S,2018-12-07T00:00:00.000Z,2018-12-07T00:00:00.000Z,,2019-02-14T02:49:06.000Z
170,266,Fraser Park,Private Open Space,2.07520743,Fraser Park,,,,,,2019-02-14T02:49:06.000Z
171,187,Arlington Heights Park,Arlington County Park,0.28290655,Arlington Heights Park,,,,,,2019-02-14T02:49:06.000Z
172,147,Oakland Street Park,Arlington County Park,0.07542436,Oakland Street Park,,,,,,2019-02-14T02:49:06.000Z
173,127,Lacey Woods Park,Arlington County Park,13.85984502,Lacey Woods Park,1200,N GEORGE MASON DR,,,,2019-02-14T02:49:06.000Z
174,103,East Falls Church Park,Arlington County Park,4.04638382,East Falls Church Park,1730,N ROOSEVELT ST,,,,2019-02-14T02:49:06.000Z
175,233,Penrose Square,Arlington County Park,0.40773008,Penrose Square,2597,COLUMBIA PIKE,,,,2019-02-14T02:49:06.000Z
176,227,Stratford Park,Arlington County Park,3.45010798,Stratford Park,4321,OLD DOMINION DR,,,,2019-02-14T02:49:06.000Z
177,205,Maury Park,Arlington County Park,2.08784422,Maury Park,3550,WILSON BLVD,,,,2019-02-14T02:49:06.000Z
178,118,Woodstock Park,Arlington County Park,1.26581653,Woodstock Park,2049,N WOODSTOCK ST,2017-12-27T00:00:00.000Z,2017-12-27T00:00:00.000Z,,2019-02-14T02:49:06.000Z
179,152,Slater Park,Arlington County Park,1.63694366,Slater Park,1837,N CULPEPER ST,,,,2019-02-14T02:49:06.000Z
180,150,McCoy Park,Arlington County Park,1.71277185,McCoy Park,2121,21st ST N,,,,2019-02-14T02:49:06.000Z
181,258,Barton Park,Private Open Space,1.95476578,Barton Park,,,2018-04-25T00:00:00.000Z,2018-04-25T00:00:00.000Z,,2019-02-14T02:49:06.000Z
182,155,Lee Heights Park,Arlington County Park,2.10203857,Lee Heights Park,2430,N TAYLOR ST,,,,2019-02-14T02:49:06.000Z
183,157,Powhatan Springs Park,Arlington County Park,5.33464645,Powhatan Springs Park,6020,WILSON BLVD,,,,2019-02-14T02:49:06.000Z
184,215,Fort Ethan Allen Park,Arlington County Park,14.77033192,Fort Ethan Allen Park,3829,N STAFFORD ST,,,,2019-02-14T02:49:06.000Z
185,140,I-66 Parking Garage,Arlington County Park,2.50824832,I-66 Parking Garage,,,,,,2019-02-14T02:49:06.000Z
